X,Y,CAMERA_ID,ENFORCEMENT,WARD,ANC,SPEED,VENDOR,CAMERA_TYPE,ADDRESS,start_date_x,end_date_x,start_date_y,end_date_y
-77.00318715,38.92460757,108,SPEED SAFETY CAMERA,5,5E,25,VM,SPEED,2600 BLK LINCOLN RD NE N/B,2018-08-15 04:00:00+00:00,2020-12-19 05:00:00+00:00,2018-08-15 04:00:00+00:00,2020-12-19 05:00:00+00:00
-76.977984,38.937441,109,SPEED SAFETY CAMERA,5,5B,25,VM,SPEED,3900 BLK SOUTH DAKOTA AVE NE SE/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.977984,38.937441,110,SPEED SAFETY CAMERA,5,5B,25,VM,SPEED,3900 BLK SOUTH DAKOTA AVE NE NW/B,2019-04-28 04:00:00+00:00,2020-12-19 05:00:00+00:00,2019-04-28 04:00:00+00:00,2020-12-19 05:00:00+00:00
-77.03195303,38.91700558,111,RED LIGHT SAFETY CAMERA,2-Jan,1B/2B,,VM,RED LIGHT OR STOP,14TH ST S/B @ U ST NW,2018-01-01 05:00:00+00:00,2020-12-20 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-20 05:00:00+00:00
-76.92182623,38.88975877,112,SPEED SAFETY CAMERA,7,7C/7E,25,Sensys,SPEED,5500 BLK E CAPITOL ST SE E/B,2020-02-03 05:00:00+00:00,2020-12-19 05:00:00+00:00,2020-02-03 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.01422841,38.89983889,113,SPEED SAFETY CAMERA,6,6E,25,Sensys,SPEED,3RD ST TUNNEL NW S/B BY 3RD ST,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00
-77.01403013,38.89974358,114,SPEED SAFETY CAMERA,6,6E,25,Sensys,SPEED,3RD ST TUNNEL NW N/B BY MA AVE,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00
-77.02239466,38.92326663,115,SPEED SAFETY CAMERA,1,1B,25,VM,SPEED,2500 BLK GEORGIA AVE NW S/B,2018-09-21 04:00:00+00:00,2020-12-18 05:00:00+00:00,2018-09-21 04:00:00+00:00,2020-12-18 05:00:00+00:00
-77.01723181,38.91223881,116,SPEED SAFETY CAMERA,6-May,5E/6E,25,,SPEED,1600 BLK NEW JERSEY AVE NW S/B,2020-04-10 04:00:00+00:00,2020-12-19 05:00:00+00:00,2020-04-10 04:00:00+00:00,2020-12-19 05:00:00+00:00
-77.00334977,38.9560662,117,SPEED SAFETY CAMERA,5-Apr,4B/5A,25,VM,SPEED,200 BLK RIGGS RD NE E/B,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00
-77.03341609,38.95349246,118,SPEED SAFETY CAMERA,4,4C,25,VM,SPEED,5200 BLK 14TH ST NW S/B,2018-01-05 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-05 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.97728307,38.90958674,119,SPEED SAFETY CAMERA,5,5C,25,VM,SPEED,1400 BLK BLADENSBURG RD NE S/B,2020-03-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2020-03-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.98271026,38.93296186,120,SPEED SAFETY CAMERA,5,5B,,VM,SPEED,MONROE ST E/B @ 16TH ST NE,2020-04-09 04:00:00+00:00,2020-10-14 04:00:00+00:00,2020-04-09 04:00:00+00:00,2020-10-14 04:00:00+00:00
-77.00904245,38.92399162,121,SPEED SAFETY CAMERA,5,5E,,VM,SPEED,2500 BLK N CAPITOL ST NE N/B,2018-01-04 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-04 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.95238742,38.89508284,122,SPEED SAFETY CAMERA,7,7F,50,VM,SPEED,DC295 NE AT BENNING RD EXIT N/B,2019-12-03 05:00:00+00:00,2020-12-19 05:00:00+00:00,2019-12-03 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.94774487,38.8897162,123,SPEED SAFETY CAMERA,7,7F,25,VM,SPEED,3900 BLK E CAPITOL ST SE E/B,2020-02-28 05:00:00+00:00,2020-12-19 05:00:00+00:00,2020-02-28 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.94609942,38.88984303,124,SPEED SAFETY CAMERA,7,7F,25,VM,SPEED,4000 BLK EAST CAPITOL ST NE W/B,2019-11-21 05:00:00+00:00,2020-11-05 05:00:00+00:00,2019-11-21 05:00:00+00:00,2020-11-05 05:00:00+00:00
-76.96389108,38.87073404,125,SPEED SAFETY CAMERA,7,7B,25,VM,SPEED,3000 BLK PENNSYLVANIA AVE SE NW/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.01659456,38.82275361,126,SPEED SAFETY CAMERA,8,8D,,VM,SPEED,DC295 SW .05 MILE S/O EXIT 1 N/B,2019-06-11 04:00:00+00:00,2020-12-19 05:00:00+00:00,2019-06-11 04:00:00+00:00,2020-12-19 05:00:00+00:00
-77.00787634,38.84280147,127,SPEED SAFETY CAMERA,8,8C,,VM,SPEED,DC295 SE 0.4 MILES S/O E/2 S/B (WZ),2020-03-17 04:00:00+00:00,2020-12-19 05:00:00+00:00,2020-03-17 04:00:00+00:00,2020-12-19 05:00:00+00:00
-77.02789348,38.93065007,1,STOP SIGN SAFETY CAMERA,1,1A,,Sensys,RED LIGHT OR STOP,11TH ST N/B @ LAMONT ST NW,2019-09-09 04:00:00+00:00,2020-12-22 05:00:00+00:00,2019-09-09 04:00:00+00:00,2020-12-22 05:00:00+00:00
-77.05565099,38.93563653,2,SPEED SAFETY CAMERA,3,3C,25,Sensys,SPEED,2500 BLK PORTER ST NW W/B,2019-12-30 05:00:00+00:00,2020-12-19 05:00:00+00:00,2019-12-30 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.03641719,38.9525426,3,SPEED SAFETY CAMERA,4,4A/4C,25,Sensys,SPEED,16TH ST S/B @ COLORADO AVE NW,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.07857146,38.91269691,4,SPEED SAFETY CAMERA,2,2E,25,VM,SPEED,4300 BLK RESERVOIR RD NW E/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.07313033,38.92416705,5,SPEED SAFETY CAMERA,3,3B/3C,25,Sensys,SPEED,2600 BLK WISCONSIN AVE NW N/B,2018-01-05 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-05 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.09224011,38.91390143,6,SPEED SAFETY CAMERA,3,3D,25,VM,SPEED,4700 BLK MACARTHUR BLVD NW S/B,2018-09-19 04:00:00+00:00,2020-12-19 05:00:00+00:00,2018-09-19 04:00:00+00:00,2020-12-19 05:00:00+00:00
-77.01389471,38.93129393,7,SPEED SAFETY CAMERA,5,5A/5E,25,Sensys,SPEED,100 BLK IRVING ST NW W/B,2020-01-23 05:00:00+00:00,2020-12-19 05:00:00+00:00,2020-01-23 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.00607522,38.93448736,8,SPEED SAFETY CAMERA,5,5A,25,VM,SPEED,3000 BLK N CAPITOL ST NW S/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.98127064,38.87241959,9,SPEED SAFETY CAMERA,8,8A,50,VM,SPEED,DC 295 .4 MI S/O PENN AVE SE SW/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.97083865,38.94120727,10,SPEED SAFETY CAMERA,5,5B,25,Sensys,SPEED,4200 BLK EASTERN AVE NE SE/B,2018-01-01 05:00:00+00:00,2020-12-17 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-17 05:00:00+00:00
-76.95977591,38.86606635,11,SPEED SAFETY CAMERA,7,7B,25,VM,SPEED,1900 BLK BRANCH AVE SE S/B,2018-01-01 05:00:00+00:00,2018-08-29 04:00:00+00:00,2018-01-01 05:00:00+00:00,2018-08-29 04:00:00+00:00
-76.96897301,38.86948244,12,STOP SIGN SAFETY CAMERA,7,7B,,Sensys,RED LIGHT OR STOP,27TH ST N/B @ R ST SE,2018-01-01 05:00:00+00:00,2020-12-22 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-22 05:00:00+00:00
-76.9833049,38.85330512,13,SPEED SAFETY CAMERA,8,8B/8E,25,Sensys,SPEED,SUITLAND PK W/B @ STANTON RD SE,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.97232169,38.86288029,14,SPEED SAFETY CAMERA,8,8B,25,Sensys,SPEED,2300 BLK GOOD HOPE RD SE NW/B,2018-01-02 05:00:00+00:00,2020-11-16 05:00:00+00:00,2018-01-02 05:00:00+00:00,2020-11-16 05:00:00+00:00
-76.98232468,38.85084256,15,STOP SIGN SAFETY CAMERA,8,8E,,Sensys,RED LIGHT OR STOP,BRUCE PL E/B @ 15TH PL SE,2018-01-01 05:00:00+00:00,2020-12-22 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-22 05:00:00+00:00
-77.03342693,38.96204978,16,SPEED SAFETY CAMERA,4,4A,25,Sensys,SPEED,MILITARY RD W/B @ 14TH ST NW,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.04296094,38.94508877,17,STOP SIGN SAFETY CAMERA,4,4A,,Sensys,RED LIGHT OR STOP,BLAGDEN AVE NE/B @ ALLISON ST NW,2018-01-01 05:00:00+00:00,2020-12-06 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-06 05:00:00+00:00
-77.05924969,38.96101824,18,SPEED SAFETY CAMERA,4,3G,25,VM,SPEED,2900 BLK MILITARY RD NW E/B,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-18 05:00:00+00:00
-77.04997971,38.90253375,19,SPEED SAFETY CAMERA,2,2A,25,VM,SPEED,2200 BLK K ST NW W/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.04997971,38.90253375,20,SPEED SAFETY CAMERA,2,2A,25,VM,SPEED,2200 BLOCK K ST NW E/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.10986038,38.93347677,21,SPEED SAFETY CAMERA,3,3D,25,VM,SPEED,5700 BLK MACARTHUR BLVDA NW N/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.96513633,38.91714501,22,SPEED SAFETY CAMERA,5,5C,25,VM,SPEED,3300 BLK NEW YORK AVE NE E/B,2020-01-15 05:00:00+00:00,2020-12-19 05:00:00+00:00,2020-01-15 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.94219702,38.87673501,23,SPEED SAFETY CAMERA,7,7E,25,VM,SPEED,800 BLK RIDGE RD  SE NW/B,2018-03-17 04:00:00+00:00,2020-12-19 05:00:00+00:00,2018-03-17 04:00:00+00:00,2020-12-19 05:00:00+00:00
-76.98236965,38.94164509,24,SPEED SAFETY CAMERA,5,5B,25,VM,SPEED,4200 BLK S DAKOTA AVE NE NW/B,2018-01-01 05:00:00+00:00,2020-09-13 04:00:00+00:00,2018-01-01 05:00:00+00:00,2020-09-13 04:00:00+00:00
-76.99130218,38.93784892,25,SPEED SAFETY CAMERA,5,5B,25,VM,SPEED,1100 BLK MICHIGAN AVE NE W/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.93609959,38.90990266,26,SPEED SAFETY CAMERA,7,7D,25,VM,SPEED,DC295 NE .1MILE S/O EASTERN AVE N/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.95136873,38.87397793,27,SPEED SAFETY CAMERA,7,7B,25,VM,SPEED,3700 BLK MASSACHUSETTS AVE SE NW/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-76.93754521,38.88977941,28,RED LIGHT SAFETY CAMERA,7,7D/7E,,VM,RED LIGHT OR STOP,E CAPITOL ST W/B @ BENNING RD NE,2018-01-02 05:00:00+00:00,2020-12-20 05:00:00+00:00,2018-01-02 05:00:00+00:00,2020-12-20 05:00:00+00:00
-76.93822858,38.88978408,29,RED LIGHT SAFETY CAMERA,7,7D/7E/7F,,VM,RED LIGHT OR STOP,E CAPITOL ST E/B @ TEXAS AVE SE,2018-01-01 05:00:00+00:00,2020-12-21 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-21 05:00:00+00:00
-76.9706503,38.87347139,30,RED LIGHT SAFETY CAMERA,7,7B,,VM,RED LIGHT OR STOP,PENNSYLVANIA AVE W/B @ MINNESOTA SE,2018-01-03 05:00:00+00:00,2020-12-01 05:00:00+00:00,2018-01-03 05:00:00+00:00,2020-12-01 05:00:00+00:00
-76.98360419,38.90971051,31,SPEED SAFETY CAMERA,5,5C/5D,25,Sensys,SPEED,1200 BLK MT OLIVET RD NE NW/B,2018-01-01 05:00:00+00:00,2020-06-08 04:00:00+00:00,2018-01-01 05:00:00+00:00,2020-06-08 04:00:00+00:00
-77.10473785,38.93574672,32,SPEED SAFETY CAMERA,3,3D,25,VM,SPEED,5100 BLK LOUGHBORO RD NW W/B,2018-09-20 04:00:00+00:00,2020-12-19 05:00:00+00:00,2018-09-20 04:00:00+00:00,2020-12-19 05:00:00+00:00
-76.96488043,38.89730683,33,SPEED SAFETY CAMERA,7-May,5D/7D,25,Sensys,SPEED,2800 BLK BENNING RD NE E/B,2018-11-01 04:00:00+00:00,2020-12-19 05:00:00+00:00,2018-11-01 04:00:00+00:00,2020-12-19 05:00:00+00:00
-76.97943376,38.89330716,34,SPEED SAFETY CAMERA,6,6A,25,VM,SPEED,1700 BLK C ST NE W/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.07036594,38.92657128,35,SPEED SAFETY CAMERA,3,3C,25,VM,SPEED,3500 BLK MASSACHUSETTS AVE NW E/B,2018-01-01 05:00:00+00:00,2020-12-17 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-17 05:00:00+00:00
-77.07537715,38.95024187,36,SPEED SAFETY CAMERA,3,3E,25,VM,SPEED,4600 BLK NEBRASKA AVE NW SW/B,2018-01-08 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-08 05:00:00+00:00,2020-12-19 05:00:00+00:00
-77.09224865,38.94255003,37,SPEED SAFETY CAMERA,3,3D/3E,25,VM,SPEED,4600 BLK MASSACHUSETTS AVE NW NW/B,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00,2018-01-01 05:00:00+00:00,2020-12-19 05:00:00+00:00
